Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Sri Arunachala Aksharaman Mala,NIL,G.Sambashivarao,Ramana - Works,,Telugu,RRB4,NIL(2ndcopy),"Sri Ramanashramamu, T.V.Malai",2014,R-WRK-,,6175,,
Sri Arunachala Aksharaman Mala,NIL,G.Sambashivarao,Ramana - Works,,Telugu,RRB4,NIL(3rdcopy),"Sri Ramanashramamu, T.V.Malai",2014,R-WRK-,,6176,,
Sri Arunachala Aksharaman Mala,NIL,G.Sambashivarao,Ramana - Works,,Telugu,RRB4,NIL(4thcopy),"Sri Ramanashramamu, T.V.Malai",2014,R-WRK-,,6177,,
Sri Arunachala Aksharaman Mala,NIL,M.R.Nageswar Rao,Ramana - Works,,Telugu,RRB4,NA,"Sri Ramanashramam, T.V.Malai",2014,R-WRK- MRNR,,6178,,
Sri Arunachala Aksharaman Mala,NIL,M.R.Nageswar Rao,Ramana - Works,,Telugu,RRB4,NA,"Sri Ramanashramam, T.V.Malai",2014,R-WRK- MRNR,,6179,,
Sri Arunachala Aksharaman Mala,Akasharamanimalai,T. Satyanarayana Rao,Ramana - Works,,Telugu,D1,324,"Sri  Kala Printers,Hyderabad",1996,R-WRK-TSR,,6180,,
Sri Arunachala Aksharaman Mala,Akasharamanimalai,T. Satyanarayana Rao,Ramana - Works,,Telugu,D1,3279,"Sri  Kala Printers,Hyderabad",1996,R-WRK-TSR,,6181,,
Sri Arunachala Aksharamanmalai,NIL,A Bhagawan's Devotee,Ramana - Works,,Telugu,NA(I5),NA,"Ramana Bhakta Mandali, Bengaluru",2018,R-WRK-,,6182,,
Sri Arunachala Mahatmyam,NIL,NA,Ramana - Works,,Telugu,RRB2,NA,"Sri Ramana Kendram, Arunnachalam",NA,R-WRK-,,6183,,
Sri Arunachala Stuti Panchakam,Stuti Panchakam,Ramachandra Kondinya,Ramana - Works,,Telugu,D1,1486,"Sri Ramana Adyayana Kendram, Yellore",1975,R-WRK- RK,,6184,,
Sri Arunachala Stuti Panchakam,Stuti Panchakam,Ramachandra Kondinya,Ramana - Works,,Telugu,D1,2621,"Sri Ramana Adyayana Kendram, Yellore",1975,R-WRK-RK,,6185,,
Sri Arunachala Stuti Panchakam,Hymns,Sadhu Om and Micheal James,Ramana - Works,,English,na,na,"Sri Ramana Kshetra kanvashrama Trust, Tiruvannamalai",2007,R-WRK- SO,,6186,,
Sri Arunachala Stuti Panchakam,Nil,Griddaluru Lakshmi Narasimha,Ramana - Works,,Telugu,RRB-2,NA,"Sri Ramanashramam,Tiruvannamalai",1974,R-WRK- GLN,,6187,,
Sri Arunachala Stuti Panchakam,NIL,Griddaluru Lakshmi Narasimha,Ramana - Works,,Telugu,RRB-2,Na,"Sri Ramanashramam,Tiruvannamalai",1997,R-WRK- GLN,,6188,,
Sri Arunachala Stuti Panchakam,NIL,Griddaluru Lakshmi Narasimha,Ramana - Works,,Telugu,RRB-2,NA,"Sri Ramanashramam,Tiruvannamalai",1991,R-WRK- GLN,,6189,,
Sri Arunachala Stuti Panchakam,NIL,Griddaluru Lakshmi Narasimha,Ramana - Works,,Telugu,RRB-2,NA,"Sri Ramanashramam,Tiruvannamalai",1991,R-WRK- GLN,,6190,,
Sri Arunachalal Sthuti panchakam,Anuvadm,Griddaluru Lakshmi Narasimha,Ramana - Works,,Telugu,NA,1128,Ramanashramam Arunachalam,1972,R-WRK- GLN,,6191,,
Sri Arunachaleswara Shatakam,NIL,R.Sri Rama Murthy,Ramana - Works,,Telugu,NA(I5),NA,Sri Udhaya,2014,R-WRK- RSRM,,6192,,
Sri Arunachaleswara Shatakam,NIL,R.Sri Rama Murthy,Ramana - Works,,Telugu,NA(I5),4191,"Sri Ramana Trust, Vijayawada",2000,R-WRK- RSRM,,6193,,
Sri Atulyanatheswar,,Kumbhabhisekham souvenir,Ramana - Works,,English,,na,"Sri Ramanasramam, Tiruvannamalai",2003,R-WRK-KS,,6194,,
Sri Atulyanatheswar,,Kumbhabhisekham souvenir,Ramana - Works,,English,,3204,"Sri Ramanasramam, Tiruvannamalai",2003,R-WRK-KS,,6195,,
Sri Bhagavan Paniyil,NIL,Sri Ramanasramam,Ramana - Works,,Tamil,6,NA,"Sri Ramanasramam, T.V. Malai",1994,R-WRK- SRM,,6196,,
Sri Bhagavat Gita Saramu,BalaPriya Vyakhya Sahitam,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,NA(I5),232,"President, Sri Ramanashramam, T.V.Malai",1985,R-WRK- PHRS,,6197,,
Sri Bhagawad-Anugrah- Bhashanamu,Neenu Yevadanu Vichara Sangraham,P. Radha Krishna Sharma,Ramana - Works,,Telugu,D3,3932,"President V.S. Ramanan, T.V.Malai",2007,R-WRK- PRKR,,6198,,
Sri Bhagawadanugraha Bhashanam,Nee Nevadanu Vichara Sangrahamu(Bhagawan's Upadeshamanjari),P. Radha Krishna Sarma,Ramana - Works,,Telugu,G6,2477,"President, V. S. Ramanan, T.V.Malai",2007,R-WRK- PRKR,,6199,,
Sri Bhagawan Vishishtatha,NIL,P. Surya Sundaram,Ramana - Works,,Telugu,D6,NIL,"Sri Ramana Kendram, Hyderabad",1994,R-WRK- PSS,,6200,,
Sri Bhagawan Vishishtatha,"Translation of ""Uniqueness of Sri Bhagawan"" ",P. Surya Sundaram,Ramana - Works,,Telugu,D6,NIL,"Sri Ramana Kendram, Hyderabad",1993,R-WRK- PSS,,6201,,
Sri Bhagawan Vishishtatha,"Translation of ""Uniqueness of Sri Bhagawan"" ",P. Surya Sundaram,Ramana - Works,,Telugu,D6,404,"Sri Ramana Kendram, Hyderabad",1994,R-WRK- PSS,,6202,,
Sri Bhagawat Geeta Saaramu,NIL,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,D1,NIL,"President, T.N. Ramana, T.V.Malai",NA,R-WRK- PHRS,,6203,,
Sri Bhagawat Geeta Saramu,Bala Priya Vyakhyanamu,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,3,696,"President, T.N.Venkata Ramanan, T.V. Malai",1985,R-WRK- PHRS,,6204,,
Sri Bhagawat Gita Saramu,Bala Priya Vyakhya Sahitam,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,NA,1765,"Sri Ramana Satsangamu, Nellore Distt",1979,R-WRK- PHRS,,6205,,
Sri Bhagawat Gita Saramu,Bala Priya Vyakhya Sahitam,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,NA,1468,"President, T.N. Ramanan. T.V.Malai",1985,R-WRK- PHRS,,6206,,
Sri Bhagawat Gita Saramu,Bala Priya Vyakhya Sahitamu,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,NA(J5),NIL,"Sri Ramana Satsangam, Nellore Distt",1979,R-WRK- PHRS,,6207,,
Sri Bhagawath Geeta Saaramu,Bhagawan Sri Ramana Prasadamu,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,D4,3678,"President V.S. Ramanan, T.V.Malai",2004,R-WRK- PHRS,,6208,81-88225-92-4,
Sri Bhagawath Geeta Saaramu,Bala Priya Vyakhya Sahitam,P. Hanumajjanki Rama Sarma,Ramana - Works,,Telugu,D6,NIL,"Sri Ramana Satsangamu, Nellore",1979,R-WRK- PHRS,,6209,,
Sri Dakshina Murthy Stotram,Stotram,Venkata Subramania Sastri,Ramana - Works,,Telugu,NA(J5),1152,"N. Venkata Subramainyam Sastry, Madras",NA,R-WRK- VSS,,6210,,
Sri Dakshinamoorthy Stotram,NIL,Sri Uppuguduru Radha Krishnaiah,Ramana - Works,,Telugu,NA(I5),1373,Chinmaya Mission Chittoor Distt,1968,R-WRK- URK,,6211,,
Sri Dakshinamurthy Stotram,"Atmaboda, Gurustuti, Hasthamalakam",Sri Ramana Maharshi,Ramana - Works,,English,H5,2953,"President, V. S. Ramanan, Sri Ramanasramam, T.V.Malai",1998,R-WRK-,,6212,,
Sri Dakshinamurthy Stotram,"Atma Bodha, Gurustuti, Hastamalaka ",Sri Ramana Maharshi,Ramana - Works,,English,H5,2851,"President, T.N. Venkataraman, Sri Ramanasaramam, T.V.Malai",1998,R-WRK-  SRM,,6213,,
Sri Gurupadeshsaram,NIL,Ramana Nanda,Ramana - Works,,Telugu,NA I-6,NA,"Sagara sangam prachurnlu, Vishaka",1984,R-WRK-RN,,6214,,
Sri Maharshi Jivita Kathamrutam,Old Maharshula Biogr,Bulusu Venkateshwarulu,Ramana - Works,,Telugu,NA J-3,1165,"Jarji Press , Kakinada",1953,R-WRK- BV,,6215,,
Sri Maharshi's Way,,D.M.Sastri,Ramana - Works,,English,,3243,"Sri Ramanasramam, Tiruvannamalai",1999,R-WRK-DMS,,6216,,
Sri Maharshi's Way,,D.M.Sastri,Ramana - Works,,English,,3540,"Sri Ramanasramam, Tiruvannamalai",1999,R-WRK- DMS,,6217,,
Sri Maharshi's Way,,D.M.Sastri,Ramana - Works,,English,,3540,"Sri Ramanasramam, Tiruvannamalai",1999,R-WRK- DMS,,6218,,
Sri Maharshi's Way,A Translation & a Commentary on Upadesha Saaram,D.M. Sastri,Ramana - Works,,English,I3,2696,"President, V.S. Ramanan, Sri Ramanasaramam, T.V.Malai",1999,R-WRK-DMS,,6219,,
Sri Manikya Vachakula - Tiruvachakamu,NIL,T. Satyanarayana Rao,Ramana - Works,,Telugu,NA(I5),NA,"Sri Ramana Kendram, Hyderabad",2014,R-WRK- TSR,,6220,,
Sri Manikya Vachakula Bhakti Pada Vaibhavam,Tiruvachakam,Tadimeti Satyanarayana Rao,Ramana - Works,,Telugu,F6 (Temporary Shelf),NIL,"Sri Ramana Kendram, Hyderabad",2018,R-WRK- TSR,,6221,,
Sri Mudramana Poojakalpamu,NIL,Sri Ramanasramam,Ramana - Works,,Telugu,NA,NIL,"President, T.S.Ramanan. T.V.Malai",1989,R-WRK- SRA,,6222,,
Sri Raman Chatvarimshat,Slokas,Pingali Suryasundaram,Ramana - Works,,Telugu,NA,3673,"Ramana Kendram, Bathukammakunta",NA,R-WRK- PSS,,6223,,
Sri Raman Gita Saaram,NIL,Pingali Suryasundaram,Ramana - Works,,Telugu,NA,4370,V.S.Shamasundari,NA,R-WRK- PSS,,6224,,
Sri Raman Satsangam,NIL,Donepudi Venkaiah,Ramana - Works,,Telugu,NA,NIL,Murali Apset Printors,2010,R-WRK-,,6225,,
Sri Ramana Stuti,Stuti -Adyatmika Padya Kavyamu,Donepudi Venkaiah,Ramana - Works,,Telugu,NA(I5),1182,"Sri Ramana Bhakta Mandali, Palakolu",1988,R-WRK- DV,,6226,,
Sri Ramana,NIL,NA,Ramana - Works,,Telugu,RRB-2,NA,Ramana Kendram,NA,R-WRK-,,6227,,
Sri Ramana ,Sahasranama,Dr. Sarda,Ramana - Works,,English,H5,2319,"Ramana Maharshi Centre for Learning, Bengaluru",1997,R-WRK- Sa,,6228,81-85378-60-6,
Sri Ramana  Stuti Panchakam,Stuti Panchakam,Sri Ramanasramam,Ramana - Works,,Telugu,NA(I5),1459,"President, T.N. Ramanan. T.V.Malai",1958,R-WRK- SRA,,6229,,
Sri Ramana ,Upadeshasaram,NA,Ramana - Works,,Telugu,NA(J4),NIL,NA,NA,R-WRK-,,6230,,
Sri Ramana Abhyudayamu,Padya Kavyamu,Pt. Naru Nagacharyulu,Ramana - Works,,Telugu,NA(I5),1779,Sri Nirvishaya Nanda Bramhachari,1962,R-WRK- NN,,6231,,
Sri Ramana Amruthavani,Ramanula teeyani palukulu ,Lingababu,Ramana - Works,,Telugu,RRB1,NA,"Sri Ramanashramam, T.V.Malai",2014,R-WRK-,,6232,,
Sri Ramana Anubhavam,Adyatmika Padya Kavyam,Donepudi Venkaiah,Ramana - Works,,Telugu,D3,1780,"President V.S. Ramanan, T.V.Malai",1996,R-WRK-DV,,6233,,
Sri Ramana Anugraha Tarangatulu,NIL,Dr. M. Subba Rao,Ramana - Works,,Telugu,I3,172,"Kinnara Publications, Hyderabad",1999,R-WRK- MSR,,6234,,
Sri Ramana Anugraha Tarangatulu,Part-2,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,NIL,"Kinnara Publications, Hyderabad",1998,R-WRK- MSR,,6235,,
Sri Ramana Anugraha Tarangatulu,Part-2,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,2363,"Kinnara Publications, Hyderabad",1998,R-WRK-MSR,,6236,,
Sri Ramana Anugraha Tarangatulu,Part-2,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,2798(1st Copy),"Kinnara Publications, Hyderabad",1998,R-WRK-MSR,,6237,,
Sri Ramana Anugraha Tarangatulu,Part-2,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,2798(2nd Copy),"Kinnara Publications, Hyderabad",1998,R-WRK-MSR,,6238,,
Sri Ramana Anugraha Tarangatulu,NIL,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,170,"Kinnara Publications, Hyderabad",1997,R-WRK- MSR,,6239,,
Sri Ramana Anugraha Tarangatulu,NIL,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,2798(3rd Copy),"Kinnara Publications, Hyderabad",1997, ,,6240,,
Sri Ramana Anugraha Tarangatulu,NIL,Dr. M. Subba Rao,Ramana - Works,,Telugu,D1,171,"Kinnara Publications, Hyderabad",1997,R-WRK- MSR,,6241,,
Sri Ramana Ashotara Shatanama Stotram,,Sri Bharadwaja Vishwanath Swamy,Ramana - Works,,Telugu,D6,NIL,"Sri Ramana Trust, Vijayawada",NIL,R-WRK- BVSw,,6242,,
Sri Ramana Ashramam Lekhalu,Smrutulu,Suri Nagamma,Ramana - Works,,Telugu,NA(J5),3345,"Sri Ramanashramam,Tiruvannamalai",2007,R-WRK-SN,,6243,,
Sri Ramana Ashtotara ,Shata-Nama Stotram,Bharadwaja Vishwanada Swami,Ramana - Works,,Telugu,RRB4,NIL,"Sri Ramanasramam, T.V.Malai",2016,R-WRK- BVSw,,6244,,
Sri Ramana Ashtotara Shatanama Stotram,NIL,A.R.Natarajan,Ramana - Works,,Telugu,3,NA,Bengaluru,1979,R-WRK- ARN,,6245,,
Sri Ramana Ashtotara Vyakhyanamu,Ashtotara Vyakhyanamu,Donepudi Venkayya,Ramana - Works,,Telugu,D3,2554,"President V.S. Ramanan, T.V.Malai",1962,R-WRK-DV,,6246,,
Sri Ramana Ashtotara Vyakhyanamu,Ashtotara Vyakhyanamu,Donepudi Venkayya,Ramana - Works,,Telugu,D3,NIL,"President V.S. Ramanan, T.V.Malai",1962,R-WRK-DV,,6247,,
Sri Ramana Ashtotara Vyakhyanamu,Ashtotara Vyakhyanamu,Donepudi Venkayya,Ramana - Works,,Telugu,D3,2554,"President V.S. Ramanan, T.V.Malai",1962,R-WRK-DV,,6248,,
Sri Ramana Ashtotara Vyakhyanamu,NIL,Donepudi Venkaiah,Ramana - Works,,Telugu,NA,NIL,"President, V. S. Ramanan, T.V.Malai",1992,R-WRK-,,6249,,
Sri Ramana Ashtotara Vyakyanam,Nil,Donepudi Venkayya,Ramana - Works,,Telugu,NA I-6,NA,"Sri Ramanashramam,Tiruvannamalai",1992,R-WRK- DV,,6250,,
Sri Ramana Ashtotaram Vyakhyanamu,NIL,Donepudi Venkaiah & Others,Ramana - Works,,Telugu,3,NA,"President, T.N.Venkata Ramanan, T.V. Malai",1992,R-WRK- DV,,6251,,
Sri Ramana Ashtottara Vyakyanam,NIL,Donapudi Venkayya,Ramana - Works,,Telugu,NA(J5),1992,"Sri Ramanashramam,Tiruvannamalai",1992,R-WRK-DV,,6252,,
Sri Ramana Athma Vichrana,Vicharanasongraham ,Dr.T.M.P.Mahadevan,Ramana - Works,,Telugu,NA,NA,The Payinar Pablikeshans,1991,R-WRK-,,6253,,
Sri Ramana Bhagavan,,K.R.K.Murthy,Ramana - Works,,English,,3192,"Sarvodaya Colony, Chikkadpally, Hyderabad",1970,R-WRK-KRKM,,6254,,
Sri Ramana Bhagavan- Upadesa saramu,Nil,T.Jagannatha Swamy,Ramana - Works,,Telugu,RRB2,1298,Udayani Press,1996,R-WRK-TJSw,,6255,,
Sri Ramana Bhagawanuni Anubhuti Saramu,NIL,Tadimella Jagannatha Swami,Ramana - Works,,Telugu,3,NA,"Sree Varalakshmi Power Press, Palakolu,A.P.",1993,R-WRK- TJSw,,6256,,
Sri Ramana Bhashamulu,NIL,Sri Ramchandra Kondiya,Ramana - Works,,Telugu,G6,3477,"President, V.S. Ramanan, T.V.Malai",2012,R-WRK-RK,,6257,978-81-8288-033-7,
Sri Ramana Chatussutri,Ramana Tatvaanubhavamu,Donepudi Venkaiah,Ramana - Works,,Telugu,D6,4288,"Ramana Bhakta Mundali, Bengaluru",2012,R-WRK- DV,,6258,,
Sri Ramana Chatvarimshat,"Tattparya Sahitam, Vibhaktyashtakam, Gurugeetamula Tho",Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1272,"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6259,,
Sri Ramana Chatvarimshat,"Tattparya Sahitam, Vibhaktyashtakam, Gurugeetamula Tho",Kavyakanta Ganapati Muni,Ramana - Works,,Telugu,3,1764,"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6260,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,2620,"President, T.N.Venkata Ramanan, Sri Ramanasramam, T.V. Malai",1956,R-WRK- KGM,,6261,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1447,"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6262,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1629 (2ndCopy),"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6263,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1275 (3rd Copy),"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6264,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1274 (4th Copy),"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6265,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1448 (4th Copy),"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6266,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1271 (5th Copy),"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6267,,
Sri Ramana Chatvarimshat,Vibhaktyashtaka Gurugeetam tho,Kavya Kanta -Ganapati Muni,Ramana - Works,,Telugu,3,1270 (6th Copy),"President, T.N.Venkata Ramanan, T.V. Malai",1956,R-WRK- KGM,,6268,,
Sri Ramana Chatvarimshat,NIL,P. Hanumajjankiram Sarma,Ramana - Works,,Telugu,3,NA,Ravinutala Sri Ramulu. Anantapur,1985,R-WRK-,,6269,,
Sri Ramana Chatvarimshat,Guru - Gita,Sri Ramanasramam,Ramana - Works,,Telugu,6,1276,"Sri Ramanasramam, T.V. Malai",1956,R-WRK- SRA,,6270,,
Sri Ramana Chatvarimshat,Gurugita,Sri Ramanasramam,Ramana - Works,,Telugu,6,1273,NA,1956,R-WRK- SRA,,6271,,
Sri Ramana Chatvarimshat,"Chatvarimshat Shlokalu, Meaning",Pingali Surya Sundaram,Ramana - Works,,Telugu,F6 (Temporary Shelf),NIL,"Sri Ramana Kendram, Hyderabad",2014,R-WRK- PSS,,6272,,
Sri Ramana Chatvarimshat,Sri Ramana Pachancharatna,Sudheer,Ramana - Works,,Telugu,NA(I5),NA,"President, V.S.Ramanan. T.V.Malai",2012,R-WRK-,,6273,978-81-8288-145-7,
Sri Ramana Chatvarimshat,Tatparya Sahitamu- Vibhaktyashtam Gurugeeta Lo,NA,Ramana - Works,,Telugu,NA(I5),1273,"President, T.N. Ramanan. T.V.Malai",1956,R-WRK-,,6274,,
Sri Ramana Chatvarimshat,NIL,Sri Ramanasramam,Ramana - Works,,Telugu,NA I-6,1631,"Sri Ramanashramam,Tiruvannamalai",1956,R-WRK- SRA,,6275,,
Sri Ramana Chatvarimshat,NIL,Sri Ramanasramam,Ramana - Works,,Telugu,RRB-2,Na,"Sri Ramanashramam,Tiruvannamalai",Na,R-WRK-  SRA,,6276,,
Sri Ramana Chatvarimshat,NIL,NA,Ramana - Works,,Telugu,RRB2,NA,"Sri Ramana Kendram, Hyderabad",NA,R-WRK-  SRA,,6277,,
Sri Ramana Chatvarimshat,NIL,NA,Ramana - Works,,Telugu,RRB2,NA,"Sri Ramana Kendram, Hyderabad",NA,R-WRK-,,6278,,
Sri Ramana Chatvarimshat,NIL,NA,Ramana - Works,,Telugu,RRB2,NA,"Sri Ramana Kendram, Arunnachalam",1992,R-WRK-,,6279,,
Sri Ramana Chatvarinshat,"Meaning Sahitam, Vibhaktyashtakam, Gurugitamula -tho",Sri Ramanasramam,Ramana - Works,,Telugu,NA,NIL,"President, V.S.Ramanan. T.V.Malai",1956,R-WRK-SRA,,6280,,
Sri Ramana Chatvarimshat,"Vibaktashtakam,Gurugit",Sri Ramanasramam,Ramana - Works,,Telugu,I-5,1630,"Sri Ramanashramam,Tiruvannamalai",1956,R-WRK- SRA,,6281,,
Sri Ramana Darsanam,,Sadhu Natanananda,Ramana - Works,,English,,3287,"Sri Ramanasramam, Tiruvannamalai",2002,R-WRK-SN,,6282,,
Sri Ramana Darsanam,Chaitanya Sakshatkaram,Sadhu Natananda,Ramana - Works,,ENGLISH,H1,2054,"President, V.S.Ramana,Sri Ramanasramam, T.V.Malai",2002,R-WRK- SN,,6283,81-88225-63-0,
Sri Ramana Darsanam,Also known as Chaitantya Sakshtkaram,Sadhu Natananda,Ramana - Works,,ENGLISH,H1,2055,"President, V.S.Ramana,Sri Ramanasramam, T.V.Malai",2002,R-WRK- SN,,6284,81-88225-63-0,
Sri Ramana Darsanam,Also known as Chaitantya Sakshtkaram,Sadhu Natananda,Ramana - Works,,ENGLISH,H1,3057,"President, V.S.Ramana,Sri Ramanasramam, T.V.Malai",2005,R-WRK-SN,,6285,81-88225-63-0,
Sri Ramana Darsanam,Also known as Chaitantya Sakshtkaram,Sadhu Natananda,Ramana - Works,,ENGLISH,H1,2444(2nd Copy),"President, V.S.Ramana,Sri Ramanasramam, T.V.Malai",2002,R-WRK-SN,,6286,81-88225-63-0,
Sri Ramana Darshanamu,Tamil Version -Ulladu -Norpadu,P.Radha Krishna Sarma,Ramana - Works,,Telugu,F6 (Temporary Shelf),NIL,"President. V.S. Ramana, Sri Ramana Ashramam, T.V. Malai",2008,R-WRK- PRKS,,6287,,
Sri Ramana Darshanamu,Stuti Panchakam,Donepudi Venkaiah & Others,Ramana - Works,,Telugu,3,419,"Sri Ramana Kendram, Guntur Distt., A.P.",1991,R-WRK- DV,,6288,,
Sri Ramana Darshanamu,Stuti Panchakam,Donepudi Venkayya,Ramana - Works,,Telugu,D1,1782,"Sri Ramana Bhakta Mandali, Guntur Distt",NA,R-WRK-DV,,6289,,
Sri Ramana Darshanamu,NIL,P. Radha Krishna Sarma,Ramana - Works,,Telugu,D2,3521,"President V.S. Ramanan, T.V.Malai",2008,R-WRK- PRKS,,6290,,
Sri Ramana Darshanamu,NIL,P. Radha Krishna Sarma,Ramana - Works,,Telugu,D2,2823,"President V.S. Ramanan, T.V.Malai",2008,R-WRK- PRKS,,6291,,
Sri Ramana Darshanamu,NIL,P. Radha Krishna Sarma,Ramana - Works,,Telugu,D2,2823,"President V.S. Ramanan, T.V.Malai",2008,R-WRK- PRKS,,6292,,
Sri Ramana Darshanamu,Stuti Panchakam,Donepudi Venkaiah & Others,Ramana - Works,,Telugu,NA,1480,"Sri Ramana Bhakta Mandali, Guntur Distt",1991,R-WRK- DV,,6293,,
Sri Ramana Dhyana ,Sloka Panchakam,A.Sitharamasatri,Ramana - Works,,Telugu,RRB4,NIL,"Sri Ramanasramam, T.V.Malai",2008,R-WRK-,,6294,,
Sri Ramana Divya Bhashanalu,Ramana's Answers,M.R.NAGESHWAR RAO,Ramana - Works,,Telugu,RRB1,4380,"Sree Ramana Nilaya Ashram, P.G District",2003,R-WRK-MRNR,,6295,,
Sri Ramana Divya Bhashanalu +Arunachala Stuti Panchakam,Arunachala Stuti Panchakam,P. Subba Raju,Ramana - Works,,Telugu,NA,NIL,"Ramana Kendram, Jinnuru, A.P.",NA,R-WRK- PSR,,6296,,
Sri Ramana Divya Bhashanamulu,Nil,M.R. Nageswara Rao,Ramana - Works,,Telugu,D4,3277,"Sri Ramana Neelayashramam, Tanuku",2003,R-WRK- MRNR,,6297,,
Sri Ramana Divya Suktulu,NIL,P. Subba Raju,Ramana - Works,,Telugu,3,1654,"Sri Ramana Kendram, Jinnuru, A.P.",NA,R-WRK- PSR,,6298,,
Sri Ramana Gita,SANSKRIT--ENGLISH,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,334,"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1954,R-WRK-KGM,,6299,,
Sri Ramana Gita,SANSKRIT--ENGLISH,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,1435(2nd Copy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1954,R-WRK-KGM,,6300,,
Sri Ramana Gita,SANSKRIT--ENGLISH,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,1435(3rd Copy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1977,R-WRK-,,6301,,
Sri Ramana Gita,SANSKRIT--ENGLISH,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,3125(4th Copy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1992,R-WRK-KGM,,6302,,
Sri Ramana Gita,SANSKRIT--ENGLISH,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,1434(4th Copy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1973,R-WRK-GVS,,6303,,
Sri Ramana Gita,With Sanskrit Text & Revised English Translation,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,348,"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1992,R-WRK-NA,,6304,,
Sri Ramana Gita,With Sanskrit Text & Revised English Translation,Kavyakanta Ganpati Muni,Ramana - Works,,Telugu,H1,NIL(2nd Copy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1977,R-WRK- KGM,,6305,,
Sri Ramana Gita,With Sanskrit Text & Revised English Translation,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,1480,"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1977,R-WRK- KGM,,6306,,
Sri Ramana Gita,With Sanskrit Text & Revised English Translation,Kavyakanta Ganpati Muni,Ramana - Works,,ENGLISH,H1,1162(4thCopy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1977,R-WRK- KGM,,6307,,
Sri Ramana Gita,With Sanskrit Text & Revised English Translation,Kavyakanta Ganpati Muni,Ramana - Works,,"Sanskrit, ENGLISH & Tamil",H1,NIL(5th Copy),"President, T.N.Venkataraman, Sri Ramanasramam, T.V.Malai",1977,R-WRK- KGM,,6308,,
